Entity Name,Address,City,Zip Code,Website
Caffiend: The Bushwick Dispensary,892 Wyckoff Ave,Brooklyn,11237,Website coming soon
Canna Buddha,215-46 39th Ave,Bayside,11361,cannabuddha.us
Canna Culture Co.,90 E Market St,Corning,14830,culturecanna.co
Canna Life NY Inc (dba Hii),152 Bedford Ave,Brooklyn,11249,hiinyc.com
Canna Planet Ellenville,37 N Main St,Ellenville,12428,cannaplanet.com
Canna Planet Kingston,1221 Ulster Ave,Kingston,12401,cannaplanet.com
Canna Planet Monticello,73 Pleasant St,Monticello,12701,cannaplanet.com
Canna Planet Wappingers,1444 Route 9D,Wappingers Falls,12590,cannaplanet.com
Canna Vibes NY,146 Front St,Deposit,13754,cannavibesny.com
Cannabicity,220 Harborside Dr, Ste 111,Schenectady,12305,cannabicity.net
Cannabis Central,1520 Crescent Rd,Clifton Park,12065,shopcannabiscentral.com
Cannabis Corner,2227 Clifford Ave,Rochester,14609,cannabiscornerny.com
Cannabis Emporium (dba Hush),2460 Williamsbridge Rd, Fl 1,Bronx,10469,hushny.com
Cannabis Huts,165 S Plank Rd,Newburgh,12550,cannabishuts.com
Cannabis Huts Poughkeepsie,4-10 Taft Ave,Poughkeepsie,12603,cannabishuts.com
Cannabis on Lex,459 Lexington Ave,New York,10017,cannabisonlex.com
Cannadreams,862 9th Ave,New York,10019,cannadreams.nyc
CannaFamily Dispensary,102-15 159 Rd,Howard Beach,11414,Website coming soon
Cannalicious,435 5th Ave,Brooklyn,11215,cannaliciousnyc.com
Cannavita,30-30 Steinway St,Astoria,11103,cannavita.us
Canterra,451 Elmwood Ave, Ste 105,Buffalo,14222,canterra.co
Capital District Cannabis & Wellness Inc.,997 Central Ave, Ste 200,Albany,12205,capitaldistrictcannabis.com
Catskill Mountain High,308 Plaza Rd,Kingston,12401,catskillmtnhigh.com
Central Budz,2245 Central Park Ave,Yonkers,10710,centralbudz.com
Charlie Fox,719 7th Ave,New York,10036,shopcharliefox.com
Gotham Buds,248 W 125th St,New York,10027,gothambudsny.com
Housing Works Cannabis, LLC,750 Broadway,New York,10003,hwcannabis.co
Smacked Village,144 Bleecker St,New York,10012,getsmacked.online
Just Breathe,75 Court St,Binghamton,13901,justbreathelife.org
The Travel Agency Union Square,835 Broadway,New York,10003,thetravelagency.co
William Jane Corporation,119-121 E State St,Ithaca,14850,williamjane420.com
Good Grades, LLC,162-03 Jamaica Ave,Jamaica,11432,goodgradesnyc.com
