path,clicks_3mo,impressions_3mo,migration_action,notes
/,57,994,KEEP,Preserve exact slug for SEO continuity
/events/,10,81,KEEP,Preserve exact slug for SEO continuity
/news/inside-snowbelt-cannabis-small-batch-solventless-women-veteran-owned/,6,82,KEEP,Preserve exact slug for SEO continuity
/membership/,4,176,KEEP,Preserve exact slug for SEO continuity
/members/green-room-cannabis/,4,53,KEEP,Preserve exact slug for SEO continuity
/about/,3,425,KEEP,Preserve exact slug for SEO continuity
/new-york-cannabis-market-overview-2024-early-2025/,2,428,KEEP,Preserve exact slug for SEO continuity
/ny-cannabis-cross-tier-branding-case-2025/,2,198,KEEP,Preserve exact slug for SEO continuity
/contact-buffalo-cannabis-network/,2,181,KEEP,Preserve exact slug for SEO continuity
/members/,2,124,KEEP,Preserve exact slug for SEO continuity
/news/tag/new-york-cannabis-processors/,2,5,KEEP,Preserve exact slug for SEO continuity
/news/new-york-cannabis-market-overview-2024-early-2025/,1,359,KEEP,Preserve exact slug for SEO continuity
/members/drs-testing/,1,26,KEEP,Preserve exact slug for SEO continuity
/members/amplified-buffalo-news/,1,23,KEEP,Preserve exact slug for SEO continuity
/events/coffee-networking/,1,9,KEEP,Preserve exact slug for SEO continuity
/members/cannabookkeeper-ny-cbkny/,1,7,KEEP,Preserve exact slug for SEO continuity
/events/buffalo-cannabis-network-happy-hour/,1,2,KEEP,Preserve exact slug for SEO continuity
/submit-a-tip/,1,2,KEEP,Preserve exact slug for SEO continuity
/news/nikki-lawley-buffalo-cannabis-networks-community-director-turns-pain-into-purpose/,0,301,KEEP,Preserve exact slug for SEO continuity
/news/,0,66,KEEP,Preserve exact slug for SEO continuity
/about-buffalo-cannabis-network/,0,62,KEEP,Preserve exact slug for SEO continuity
/blog/,0,52,KEEP,Preserve exact slug for SEO continuity
/event-venue/sol-buffalo-pool-club/,0,41,KEEP,Preserve exact slug for SEO continuity
/contact/,0,40,KEEP,Preserve exact slug for SEO continuity
/news/category/market-reports/,0,29,KEEP,Preserve exact slug for SEO continuity
/event/bcn-dispensary-showcase/,0,26,KEEP,Preserve exact slug for SEO continuity
/members/americu-credit-union/,0,26,KEEP,Preserve exact slug for SEO continuity
/news/ccb-meeting-highlights-what-actually-matters-for-ny-operators/,0,25,KEEP,Preserve exact slug for SEO continuity
/members/house-of-sacci/,0,23,KEEP,Preserve exact slug for SEO continuity
/news/ny-cannabis-cross-tier-branding-case-2025/,0,23,KEEP,Preserve exact slug for SEO continuity
/news/tag/ocm/,0,22,KEEP,Preserve exact slug for SEO continuity
/members/weed-ross-insurance/,0,21,KEEP,Preserve exact slug for SEO continuity
/news/tag/cannabis-industry/,0,20,KEEP,Preserve exact slug for SEO continuity
/terms/,0,19,KEEP,Preserve exact slug for SEO continuity
/members/staffbuffalo-hrbuffalo/,0,18,KEEP,Preserve exact slug for SEO continuity
/print/,0,18,KEEP,Preserve exact slug for SEO continuity
/members/skyworld/,0,16,KEEP,Preserve exact slug for SEO continuity
/news/category/industry-news/,0,16,KEEP,Preserve exact slug for SEO continuity
/recaps/,0,16,KEEP,Preserve exact slug for SEO continuity
/news/tag/cannabis-data/,0,14,KEEP,Preserve exact slug for SEO continuity
/event-type/workshop/,0,11,KEEP,Preserve exact slug for SEO continuity
/members/case-study-labs/,0,11,KEEP,Preserve exact slug for SEO continuity
/members/pax/,0,11,KEEP,Preserve exact slug for SEO continuity
/news/tag/new-york-state-cannabis-news/,0,10,KEEP,Preserve exact slug for SEO continuity
/events/coffee-and-networking-hosted-by-withum/,0,9,KEEP,Preserve exact slug for SEO continuity
/news/membership-tier/professional-member/,0,9,KEEP,Preserve exact slug for SEO continuity
/advertise/,0,8,KEEP,Preserve exact slug for SEO continuity
/event-type/networking/,0,8,KEEP,Preserve exact slug for SEO continuity
/members/snowbelt-cannabis/,0,8,KEEP,Preserve exact slug for SEO continuity
/members/withum/,0,8,KEEP,Preserve exact slug for SEO continuity
/news/tag/cannabis-regulation/,0,8,KEEP,Preserve exact slug for SEO continuity
/event-venue/,0,7,KEEP,Preserve exact slug for SEO continuity
/member-submissions/,0,7,KEEP,Preserve exact slug for SEO continuity
/members/ich-industries/,0,7,KEEP,Preserve exact slug for SEO continuity
/news/tag/buffalo-cannabis-network/,0,7,KEEP,Preserve exact slug for SEO continuity
/events/bcn-brand-showcase/,0,6,KEEP,Preserve exact slug for SEO continuity
/events/summer-kick-off/,0,6,KEEP,Preserve exact slug for SEO continuity
/members/nautical-blaze/,0,6,KEEP,Preserve exact slug for SEO continuity
/news/5-reasons-cannabis-professionals-should-attend-bcns-holiday-party/,0,6,KEEP,Preserve exact slug for SEO continuity
/members/suny-niagara-horticulture-program/,0,5,KEEP,Preserve exact slug for SEO continuity
/news/category/products-brands/,0,5,KEEP,Preserve exact slug for SEO continuity
/news/category/regulatory-updates/,0,5,KEEP,Preserve exact slug for SEO continuity
/news/tag/terpene-education/,0,5,KEEP,Preserve exact slug for SEO continuity
/privacy/,0,5,KEEP,Preserve exact slug for SEO continuity
/buffalo-cannabis-network-dispensary-showcase-recap-photo-gallery/,0,4,KEEP,Preserve exact slug for SEO continuity
/news/category/policy-legal/,0,4,KEEP,Preserve exact slug for SEO continuity
/news/tag/cannabis-sales/,0,4,KEEP,Preserve exact slug for SEO continuity
/news/tag/small-batch-cannabis/,0,4,KEEP,Preserve exact slug for SEO continuity
/news/tag/cannabis-market/,0,3,KEEP,Preserve exact slug for SEO continuity
/news/tag/snowbelt-cannabis/,0,3,KEEP,Preserve exact slug for SEO continuity
/news/tag/veteran-owned-cannabis-business/,0,3,KEEP,Preserve exact slug for SEO continuity
/events/bcn-dispensary-showcase/,0,2,KEEP,Preserve exact slug for SEO continuity
/events/summer-send-off/,0,2,KEEP,Preserve exact slug for SEO continuity
/members/bootstrap-buffalo/,0,2,KEEP,Preserve exact slug for SEO continuity
/news/tag/cannabis-news/,0,2,KEEP,Preserve exact slug for SEO continuity
/news/tag/jamestown-ny-cannabis/,0,2,KEEP,Preserve exact slug for SEO continuity
/news/tag/new-york-cannabis-patient-support/,0,2,KEEP,Preserve exact slug for SEO continuity
/events/april-coffee-networking/,0,1,KEEP,Preserve exact slug for SEO continuity
/events/buffalo-cannabis-network/,0,1,KEEP,Preserve exact slug for SEO continuity
/events/croptober-celebration/,0,1,KEEP,Preserve exact slug for SEO continuity
/events/member-happy-hour/,0,1,KEEP,Preserve exact slug for SEO continuity
/news/tag/cannabis-advocate-buffalo-ny/,0,1,KEEP,Preserve exact slug for SEO continuity
/news/tag/medical-cannabis-tbi/,0,1,KEEP,Preserve exact slug for SEO continuity
/news/tag/new-york-cannabis/,0,1,KEEP,Preserve exact slug for SEO continuity
/news/tag/new-york-stat-ocm/,0,1,KEEP,Preserve exact slug for SEO continuity
/news/tag/social-equity-cannabis/,0,1,KEEP,Preserve exact slug for SEO continuity
/news/tag/supply-chain/,0,1,KEEP,Preserve exact slug for SEO continuity
